Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;45 Toledo;45014 Añover de Tajo;De 75 a 79 años;1 de enero de 2020;202
Total;45 Toledo;45014 Añover de Tajo;De 80 a 84 años;1 de enero de 2020;112
Total;45 Toledo;45014 Añover de Tajo;De 85 a 89 años;1 de enero de 2020;93
Total;45 Toledo;45014 Añover de Tajo;De 90 a 94 años;1 de enero de 2020;53
Total;45 Toledo;45014 Añover de Tajo;De 95 a 99 años;1 de enero de 2020;9
Total;45 Toledo;45014 Añover de Tajo;100 y más años;1 de enero de 2020;1
Total;45 Toledo;45015 Arcicóllar;Todas las edades;1 de enero de 2020;908
Total;45 Toledo;45015 Arcicóllar;De 0 a 4 años;1 de enero de 2020;33
Total;45 Toledo;45015 Arcicóllar;De 5 a 9 años;1 de enero de 2020;44
Total;45 Toledo;45015 Arcicóllar;De 10 a 14 años;1 de enero de 2020;56
Total;45 Toledo;45015 Arcicóllar;De 65 a 69 años;1 de enero de 2020;42
Total;45 Toledo;45015 Arcicóllar;De 70 a 74 años;1 de enero de 2020;48
Total;45 Toledo;45015 Arcicóllar;De 75 a 79 años;1 de enero de 2020;33
Total;45 Toledo;45015 Arcicóllar;De 80 a 84 años;1 de enero de 2020;30
Total;45 Toledo;45015 Arcicóllar;De 85 a 89 años;1 de enero de 2020;24
Total;45 Toledo;45015 Arcicóllar;De 90 a 94 años;1 de enero de 2020;8
Total;45 Toledo;45015 Arcicóllar;De 95 a 99 años;1 de enero de 2020;6
Total;45 Toledo;45015 Arcicóllar;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45016 Argés;Todas las edades;1 de enero de 2020;6.563
Total;45 Toledo;45016 Argés;De 0 a 4 años;1 de enero de 2020;372
Total;45 Toledo;45016 Argés;De 5 a 9 años;1 de enero de 2020;502
Total;45 Toledo;45016 Argés;De 10 a 14 años;1 de enero de 2020;550
Total;45 Toledo;45016 Argés;De 65 a 69 años;1 de enero de 2020;182
Total;45 Toledo;45016 Argés;De 70 a 74 años;1 de enero de 2020;161
Total;45 Toledo;45016 Argés;De 75 a 79 años;1 de enero de 2020;135
Total;45 Toledo;45016 Argés;De 80 a 84 años;1 de enero de 2020;85
Total;45 Toledo;45016 Argés;De 85 a 89 años;1 de enero de 2020;72
Total;45 Toledo;45016 Argés;De 90 a 94 años;1 de enero de 2020;35
Total;45 Toledo;45016 Argés;De 95 a 99 años;1 de enero de 2020;8
Total;45 Toledo;45016 Argés;100 y más años;1 de enero de 2020;2
Total;45 Toledo;45017 Azután;Todas las edades;1 de enero de 2020;290
Total;45 Toledo;45017 Azután;De 0 a 4 años;1 de enero de 2020;6
Total;45 Toledo;45017 Azután;De 5 a 9 años;1 de enero de 2020;11
Total;45 Toledo;45017 Azután;De 10 a 14 años;1 de enero de 2020;5
Total;45 Toledo;45017 Azután;De 65 a 69 años;1 de enero de 2020;20
Total;45 Toledo;45017 Azután;De 70 a 74 años;1 de enero de 2020;23
Total;45 Toledo;45017 Azután;De 75 a 79 años;1 de enero de 2020;13
Total;45 Toledo;45017 Azután;De 80 a 84 años;1 de enero de 2020;18
Total;45 Toledo;45017 Azután;De 85 a 89 años;1 de enero de 2020;16
Total;45 Toledo;45017 Azután;De 90 a 94 años;1 de enero de 2020;13
Total;45 Toledo;45017 Azután;De 95 a 99 años;1 de enero de 2020;6
Total;45 Toledo;45017 Azután;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45018 Barcience;Todas las edades;1 de enero de 2020;883
Total;45 Toledo;45018 Barcience;De 0 a 4 años;1 de enero de 2020;63
Total;45 Toledo;45018 Barcience;De 5 a 9 años;1 de enero de 2020;79
Total;45 Toledo;45018 Barcience;De 10 a 14 años;1 de enero de 2020;61
Total;45 Toledo;45018 Barcience;De 65 a 69 años;1 de enero de 2020;29
Total;45 Toledo;45018 Barcience;De 70 a 74 años;1 de enero de 2020;22
Total;45 Toledo;45018 Barcience;De 75 a 79 años;1 de enero de 2020;13
Total;45 Toledo;45018 Barcience;De 80 a 84 años;1 de enero de 2020;9
Total;45 Toledo;45018 Barcience;De 85 a 89 años;1 de enero de 2020;3
Total;45 Toledo;45018 Barcience;De 90 a 94 años;1 de enero de 2020;1
Total;45 Toledo;45018 Barcience;De 95 a 99 años;1 de enero de 2020;2
Total;45 Toledo;45018 Barcience;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45019 Bargas;Todas las edades;1 de enero de 2020;10.535
Total;45 Toledo;45019 Bargas;De 0 a 4 años;1 de enero de 2020;552
Total;45 Toledo;45019 Bargas;De 5 a 9 años;1 de enero de 2020;708
Total;45 Toledo;45019 Bargas;De 10 a 14 años;1 de enero de 2020;649
Total;45 Toledo;45019 Bargas;De 65 a 69 años;1 de enero de 2020;514
Total;45 Toledo;45019 Bargas;De 70 a 74 años;1 de enero de 2020;358
Total;45 Toledo;45019 Bargas;De 75 a 79 años;1 de enero de 2020;243
Total;45 Toledo;45019 Bargas;De 80 a 84 años;1 de enero de 2020;178
