Municipio;Nacionalidad;Sexo;Destino;Total
19066 Cañizar;Total;Total;Otra comunidad autónoma;0
19066 Cañizar;Total;Total;Extranjero;0
19064 Canredondo;Total;Total;Misma provincia;1
19064 Canredondo;Total;Total;Misma comunidad autónoma, distinta provincia;0
19064 Canredondo;Total;Total;Otra comunidad autónoma;2
19064 Canredondo;Total;Total;Extranjero;0
19065 Cantalojas;Total;Total;Misma provincia;1
19065 Cantalojas;Total;Total;Misma comunidad autónoma, distinta provincia;0
19065 Cantalojas;Total;Total;Otra comunidad autónoma;7
19065 Cantalojas;Total;Total;Extranjero;0
19067 Cardoso de la Sierra, El;Total;Total;Misma provincia;0
19067 Cardoso de la Sierra, El;Total;Total;Misma comunidad autónoma, distinta provincia;0
19067 Cardoso de la Sierra, El;Total;Total;Otra comunidad autónoma;1
19067 Cardoso de la Sierra, El;Total;Total;Extranjero;0
19070 Casa de Uceda;Total;Total;Misma provincia;4
19070 Casa de Uceda;Total;Total;Misma comunidad autónoma, distinta provincia;0
19070 Casa de Uceda;Total;Total;Otra comunidad autónoma;0
19070 Casa de Uceda;Total;Total;Extranjero;0
19071 Casar, El;Total;Total;Misma provincia;96
19071 Casar, El;Total;Total;Misma comunidad autónoma, distinta provincia;21
19071 Casar, El;Total;Total;Otra comunidad autónoma;500
19071 Casar, El;Total;Total;Extranjero;84
19073 Casas de San Galindo;Total;Total;Misma provincia;0
19073 Casas de San Galindo;Total;Total;Misma comunidad autónoma, distinta provincia;2
19073 Casas de San Galindo;Total;Total;Otra comunidad autónoma;0
19073 Casas de San Galindo;Total;Total;Extranjero;0
19074 Caspueñas;Total;Total;Misma provincia;4
19074 Caspueñas;Total;Total;Misma comunidad autónoma, distinta provincia;0
19074 Caspueñas;Total;Total;Otra comunidad autónoma;3
19074 Caspueñas;Total;Total;Extranjero;0
19075 Castejón de Henares;Total;Total;Misma provincia;2
19075 Castejón de Henares;Total;Total;Misma comunidad autónoma, distinta provincia;0
19075 Castejón de Henares;Total;Total;Otra comunidad autónoma;0
19075 Castejón de Henares;Total;Total;Extranjero;0
19076 Castellar de la Muela;Total;Total;Misma provincia;1
19076 Castellar de la Muela;Total;Total;Misma comunidad autónoma, distinta provincia;0
19076 Castellar de la Muela;Total;Total;Otra comunidad autónoma;1
19076 Castellar de la Muela;Total;Total;Extranjero;0
19078 Castilforte;Total;Total;Misma provincia;1
19078 Castilforte;Total;Total;Misma comunidad autónoma, distinta provincia;0
19078 Castilforte;Total;Total;Otra comunidad autónoma;1
19078 Castilforte;Total;Total;Extranjero;0
19079 Castilnuevo;Total;Total;Misma provincia;1
19079 Castilnuevo;Total;Total;Misma comunidad autónoma, distinta provincia;0
19079 Castilnuevo;Total;Total;Otra comunidad autónoma;0
19079 Castilnuevo;Total;Total;Extranjero;0
19080 Cendejas de Enmedio;Total;Total;Misma provincia;2
19080 Cendejas de Enmedio;Total;Total;Misma comunidad autónoma, distinta provincia;0
19080 Cendejas de Enmedio;Total;Total;Otra comunidad autónoma;3
19080 Cendejas de Enmedio;Total;Total;Extranjero;0
19081 Cendejas de la Torre;Total;Total;Misma provincia;1
19081 Cendejas de la Torre;Total;Total;Misma comunidad autónoma, distinta provincia;0
19081 Cendejas de la Torre;Total;Total;Otra comunidad autónoma;0
19081 Cendejas de la Torre;Total;Total;Extranjero;0
19082 Centenera;Total;Total;Misma provincia;0
19082 Centenera;Total;Total;Misma comunidad autónoma, distinta provincia;0
19082 Centenera;Total;Total;Otra comunidad autónoma;2
19082 Centenera;Total;Total;Extranjero;0
19103 Checa;Total;Total;Misma provincia;3
19103 Checa;Total;Total;Misma comunidad autónoma, distinta provincia;1
19103 Checa;Total;Total;Otra comunidad autónoma;6
19103 Checa;Total;Total;Extranjero;0
19104 Chequilla;Total;Total;Misma provincia;0
19104 Chequilla;Total;Total;Misma comunidad autónoma, distinta provincia;0
19104 Chequilla;Total;Total;Otra comunidad autónoma;0
19104 Chequilla;Total;Total;Extranjero;0
19106 Chillarón del Rey;Total;Total;Misma provincia;0
19106 Chillarón del Rey;Total;Total;Misma comunidad autónoma, distinta provincia;0
19106 Chillarón del Rey;Total;Total;Otra comunidad autónoma;5
19106 Chillarón del Rey;Total;Total;Extranjero;0
19105 Chiloeches;Total;Total;Misma provincia;66
19105 Chiloeches;Total;Total;Misma comunidad autónoma, distinta provincia;11
19105 Chiloeches;Total;Total;Otra comunidad autónoma;77
19105 Chiloeches;Total;Total;Extranjero;7
19086 Cifuentes;Total;Total;Misma provincia;25
19086 Cifuentes;Total;Total;Misma comunidad autónoma, distinta provincia;4
19086 Cifuentes;Total;Total;Otra comunidad autónoma;40
19086 Cifuentes;Total;Total;Extranjero;11
19087 Cincovillas;Total;Total;Misma provincia;2
19087 Cincovillas;Total;Total;Misma comunidad autónoma, distinta provincia;0
19087 Cincovillas;Total;Total;Otra comunidad autónoma;0
19087 Cincovillas;Total;Total;Extranjero;0
19088 Ciruelas;Total;Total;Misma provincia;3
19088 Ciruelas;Total;Total;Misma comunidad autónoma, distinta provincia;0
19088 Ciruelas;Total;Total;Otra comunidad autónoma;4
19088 Ciruelas;Total;Total;Extranjero;0
19089 Ciruelos del Pinar;Total;Total;Misma provincia;0
19089 Ciruelos del Pinar;Total;Total;Misma comunidad autónoma, distinta provincia;0
19089 Ciruelos del Pinar;Total;Total;Otra comunidad autónoma;1
19089 Ciruelos del Pinar;Total;Total;Extranjero;0
19090 Cobeta;Total;Total;Misma provincia;0
19090 Cobeta;Total;Total;Misma comunidad autónoma, distinta provincia;0
19090 Cobeta;Total;Total;Otra comunidad autónoma;4
19090 Cobeta;Total;Total;Extranjero;0
19091 Cogollor;Total;Total;Misma provincia;0
19091 Cogollor;Total;Total;Misma comunidad autónoma, distinta provincia;0
19091 Cogollor;Total;Total;Otra comunidad autónoma;0
19091 Cogollor;Total;Total;Extranjero;0
19092 Cogolludo;Total;Total;Misma provincia;11
19092 Cogolludo;Total;Total;Misma comunidad autónoma, distinta provincia;5
19092 Cogolludo;Total;Total;Otra comunidad autónoma;8
19092 Cogolludo;Total;Total;Extranjero;6
19095 Condemios de Abajo;Total;Total;Misma provincia;3
19095 Condemios de Abajo;Total;Total;Misma comunidad autónoma, distinta provincia;0
19095 Condemios de Abajo;Total;Total;Otra comunidad autónoma;0
19095 Condemios de Abajo;Total;Total;Extranjero;0
19096 Condemios de Arriba;Total;Total;Misma provincia;3
19096 Condemios de Arriba;Total;Total;Misma comunidad autónoma, distinta provincia;0
19096 Condemios de Arriba;Total;Total;Otra comunidad autónoma;5
19096 Condemios de Arriba;Total;Total;Extranjero;0
19097 Congostrina;Total;Total;Misma provincia;0
19097 Congostrina;Total;Total;Misma comunidad autónoma, distinta provincia;0
19097 Congostrina;Total;Total;Otra comunidad autónoma;1
19097 Congostrina;Total;Total;Extranjero;0
19098 Copernal;Total;Total;Misma provincia;2
19098 Copernal;Total;Total;Misma comunidad autónoma, distinta provincia;0
19098 Copernal;Total;Total;Otra comunidad autónoma;1
19098 Copernal;Total;Total;Extranjero;0
19099 Corduente;Total;Total;Misma provincia;8
19099 Corduente;Total;Total;Misma comunidad autónoma, distinta provincia;1
19099 Corduente;Total;Total;Otra comunidad autónoma;11
19099 Corduente;Total;Total;Extranjero;0
19102 Cubillo de Uceda, El;Total;Total;Misma provincia;3
19102 Cubillo de Uceda, El;Total;Total;Misma comunidad autónoma, distinta provincia;0
19102 Cubillo de Uceda, El;Total;Total;Otra comunidad autónoma;0
19102 Cubillo de Uceda, El;Total;Total;Extranjero;1
19107 Driebes;Total;Total;Misma provincia;15
19107 Driebes;Total;Total;Misma comunidad autónoma, distinta provincia;0
19107 Driebes;Total;Total;Otra comunidad autónoma;5
19107 Driebes;Total;Total;Extranjero;0
19108 Durón;Total;Total;Misma provincia;0
19108 Durón;Total;Total;Misma comunidad autónoma, distinta provincia;0
19108 Durón;Total;Total;Otra comunidad autónoma;0
19108 Durón;Total;Total;Extranjero;0
19109 Embid;Total;Total;Misma provincia;0
19109 Embid;Total;Total;Misma comunidad autónoma, distinta provincia;0
19109 Embid;Total;Total;Otra comunidad autónoma;3
19109 Embid;Total;Total;Extranjero;0
19110 Escamilla;Total;Total;Misma provincia;0
19110 Escamilla;Total;Total;Misma comunidad autónoma, distinta provincia;0
19110 Escamilla;Total;Total;Otra comunidad autónoma;1
19110 Escamilla;Total;Total;Extranjero;0
19111 Escariche;Total;Total;Misma provincia;2
19111 Escariche;Total;Total;Misma comunidad autónoma, distinta provincia;0
19111 Escariche;Total;Total;Otra comunidad autónoma;3
19111 Escariche;Total;Total;Extranjero;0
19112 Escopete;Total;Total;Misma provincia;0
19112 Escopete;Total;Total;Misma comunidad autónoma, distinta provincia;0
19112 Escopete;Total;Total;Otra comunidad autónoma;0
19112 Escopete;Total;Total;Extranjero;0
19113 Espinosa de Henares;Total;Total;Misma provincia;19
19113 Espinosa de Henares;Total;Total;Misma comunidad autónoma, distinta provincia;0
19113 Espinosa de Henares;Total;Total;Otra comunidad autónoma;3
19113 Espinosa de Henares;Total;Total;Extranjero;0
19114 Esplegares;Total;Total;Misma provincia;0
19114 Esplegares;Total;Total;Misma comunidad autónoma, distinta provincia;0
19114 Esplegares;Total;Total;Otra comunidad autónoma;0
19114 Esplegares;Total;Total;Extranjero;0
19115 Establés;Total;Total;Misma provincia;0
19115 Establés;Total;Total;Misma comunidad autónoma, distinta provincia;0
19115 Establés;Total;Total;Otra comunidad autónoma;5
19115 Establés;Total;Total;Extranjero;0
19116 Estriégana;Total;Total;Misma provincia;1
19116 Estriégana;Total;Total;Misma comunidad autónoma, distinta provincia;0
19116 Estriégana;Total;Total;Otra comunidad autónoma;2
19116 Estriégana;Total;Total;Extranjero;0
19117 Fontanar;Total;Total;Misma provincia;104
19117 Fontanar;Total;Total;Misma comunidad autónoma, distinta provincia;2
19117 Fontanar;Total;Total;Otra comunidad autónoma;19
19117 Fontanar;Total;Total;Extranjero;16
19118 Fuembellida;Total;Total;Misma provincia;0
19118 Fuembellida;Total;Total;Misma comunidad autónoma, distinta provincia;0
19118 Fuembellida;Total;Total;Otra comunidad autónoma;1
19118 Fuembellida;Total;Total;Extranjero;0
19119 Fuencemillán;Total;Total;Misma provincia;1
19119 Fuencemillán;Total;Total;Misma comunidad autónoma, distinta provincia;0
19119 Fuencemillán;Total;Total;Otra comunidad autónoma;0
19119 Fuencemillán;Total;Total;Extranjero;1
19120 Fuentelahiguera de Albatages;Total;Total;Misma provincia;4
19120 Fuentelahiguera de Albatages;Total;Total;Misma comunidad autónoma, distinta provincia;0
19120 Fuentelahiguera de Albatages;Total;Total;Otra comunidad autónoma;0
19120 Fuentelahiguera de Albatages;Total;Total;Extranjero;0
19121 Fuentelencina;Total;Total;Misma provincia;9
19121 Fuentelencina;Total;Total;Misma comunidad autónoma, distinta provincia;1
