Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;13 Ciudad Real;13012 Almadenejos;De 5 a 9 años;1 de enero de 2020;11
Total;13 Ciudad Real;13012 Almadenejos;De 10 a 14 años;1 de enero de 2020;14
Total;13 Ciudad Real;13012 Almadenejos;De 65 a 69 años;1 de enero de 2020;28
Total;13 Ciudad Real;13012 Almadenejos;De 70 a 74 años;1 de enero de 2020;17
Total;13 Ciudad Real;13012 Almadenejos;De 75 a 79 años;1 de enero de 2020;27
Total;13 Ciudad Real;13012 Almadenejos;De 80 a 84 años;1 de enero de 2020;26
Total;13 Ciudad Real;13012 Almadenejos;De 85 a 89 años;1 de enero de 2020;20
Total;13 Ciudad Real;13012 Almadenejos;De 90 a 94 años;1 de enero de 2020;5
Total;13 Ciudad Real;13012 Almadenejos;De 95 a 99 años;1 de enero de 2020;3
Total;13 Ciudad Real;13012 Almadenejos;100 y más años;1 de enero de 2020;1
Total;13 Ciudad Real;13013 Almagro;Todas las edades;1 de enero de 2020;8.905
Total;13 Ciudad Real;13013 Almagro;De 0 a 4 años;1 de enero de 2020;378
Total;13 Ciudad Real;13013 Almagro;De 5 a 9 años;1 de enero de 2020;446
Total;13 Ciudad Real;13013 Almagro;De 10 a 14 años;1 de enero de 2020;478
Total;13 Ciudad Real;13013 Almagro;De 65 a 69 años;1 de enero de 2020;381
Total;13 Ciudad Real;13013 Almagro;De 70 a 74 años;1 de enero de 2020;376
Total;13 Ciudad Real;13013 Almagro;De 75 a 79 años;1 de enero de 2020;289
Total;13 Ciudad Real;13013 Almagro;De 80 a 84 años;1 de enero de 2020;270
Total;13 Ciudad Real;13013 Almagro;De 85 a 89 años;1 de enero de 2020;212
Total;13 Ciudad Real;13013 Almagro;De 90 a 94 años;1 de enero de 2020;70
Total;13 Ciudad Real;13013 Almagro;De 95 a 99 años;1 de enero de 2020;15
Total;13 Ciudad Real;13013 Almagro;100 y más años;1 de enero de 2020;1
Total;13 Ciudad Real;13014 Almedina;Todas las edades;1 de enero de 2020;500
Total;13 Ciudad Real;13014 Almedina;De 0 a 4 años;1 de enero de 2020;6
Total;13 Ciudad Real;13014 Almedina;De 5 a 9 años;1 de enero de 2020;8
Total;13 Ciudad Real;13014 Almedina;De 10 a 14 años;1 de enero de 2020;11
Total;13 Ciudad Real;13014 Almedina;De 65 a 69 años;1 de enero de 2020;28
Total;13 Ciudad Real;13014 Almedina;De 70 a 74 años;1 de enero de 2020;36
Total;13 Ciudad Real;13014 Almedina;De 75 a 79 años;1 de enero de 2020;29
Total;13 Ciudad Real;13014 Almedina;De 80 a 84 años;1 de enero de 2020;21
Total;13 Ciudad Real;13014 Almedina;De 85 a 89 años;1 de enero de 2020;28
Total;13 Ciudad Real;13014 Almedina;De 90 a 94 años;1 de enero de 2020;11
Total;13 Ciudad Real;13014 Almedina;De 95 a 99 años;1 de enero de 2020;3
Total;13 Ciudad Real;13014 Almedina;100 y más años;1 de enero de 2020;0
Total;13 Ciudad Real;13015 Almodóvar del Campo;Todas las edades;1 de enero de 2020;5.983
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 0 a 4 años;1 de enero de 2020;179
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 5 a 9 años;1 de enero de 2020;175
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 10 a 14 años;1 de enero de 2020;232
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 65 a 69 años;1 de enero de 2020;396
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 70 a 74 años;1 de enero de 2020;420
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 75 a 79 años;1 de enero de 2020;328
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 80 a 84 años;1 de enero de 2020;273
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 85 a 89 años;1 de enero de 2020;238
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 90 a 94 años;1 de enero de 2020;97
Total;13 Ciudad Real;13015 Almodóvar del Campo;De 95 a 99 años;1 de enero de 2020;29
Total;13 Ciudad Real;13015 Almodóvar del Campo;100 y más años;1 de enero de 2020;6
Total;13 Ciudad Real;13016 Almuradiel;Todas las edades;1 de enero de 2020;761
Total;13 Ciudad Real;13016 Almuradiel;De 0 a 4 años;1 de enero de 2020;25
Total;13 Ciudad Real;13016 Almuradiel;De 5 a 9 años;1 de enero de 2020;30
Total;13 Ciudad Real;13016 Almuradiel;De 10 a 14 años;1 de enero de 2020;20
Total;13 Ciudad Real;13016 Almuradiel;De 65 a 69 años;1 de enero de 2020;51
Total;13 Ciudad Real;13016 Almuradiel;De 70 a 74 años;1 de enero de 2020;41
Total;13 Ciudad Real;13016 Almuradiel;De 75 a 79 años;1 de enero de 2020;24
Total;13 Ciudad Real;13016 Almuradiel;De 80 a 84 años;1 de enero de 2020;31
Total;13 Ciudad Real;13016 Almuradiel;De 85 a 89 años;1 de enero de 2020;24
Total;13 Ciudad Real;13016 Almuradiel;De 90 a 94 años;1 de enero de 2020;10
Total;13 Ciudad Real;13016 Almuradiel;De 95 a 99 años;1 de enero de 2020;3
Total;13 Ciudad Real;13016 Almuradiel;100 y más años;1 de enero de 2020;1
Total;13 Ciudad Real;13017 Anchuras;Todas las edades;1 de enero de 2020;295
Total;13 Ciudad Real;13017 Anchuras;De 0 a 4 años;1 de enero de 2020;4
Total;13 Ciudad Real;13017 Anchuras;De 5 a 9 años;1 de enero de 2020;11
Total;13 Ciudad Real;13017 Anchuras;De 10 a 14 años;1 de enero de 2020;13
Total;13 Ciudad Real;13017 Anchuras;De 65 a 69 años;1 de enero de 2020;24
Total;13 Ciudad Real;13017 Anchuras;De 70 a 74 años;1 de enero de 2020;17
Total;13 Ciudad Real;13017 Anchuras;De 75 a 79 años;1 de enero de 2020;19
Total;13 Ciudad Real;13017 Anchuras;De 80 a 84 años;1 de enero de 2020;24
Total;13 Ciudad Real;13017 Anchuras;De 85 a 89 años;1 de enero de 2020;20
Total;13 Ciudad Real;13017 Anchuras;De 90 a 94 años;1 de enero de 2020;10
Total;13 Ciudad Real;13017 Anchuras;De 95 a 99 años;1 de enero de 2020;4
Total;13 Ciudad Real;13017 Anchuras;100 y más años;1 de enero de 2020;0
Total;13 Ciudad Real;13903 Arenales de San Gregorio;Todas las edades;1 de enero de 2020;588
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 0 a 4 años;1 de enero de 2020;16
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 5 a 9 años;1 de enero de 2020;14
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 10 a 14 años;1 de enero de 2020;33
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 65 a 69 años;1 de enero de 2020;37
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 70 a 74 años;1 de enero de 2020;42
Total;13 Ciudad Real;13903 Arenales de San Gregorio;De 75 a 79 años;1 de enero de 2020;42
