Municipio;Nacionalidad;Sexo;Destino;Total
02036 Golosalvo;Total;Total;Otra comunidad autónoma;0
02036 Golosalvo;Total;Total;Extranjero;1
02037 Hellín;Total;Total;Misma provincia;140
02037 Hellín;Total;Total;Misma comunidad autónoma, distinta provincia;39
02037 Hellín;Total;Total;Otra comunidad autónoma;375
02037 Hellín;Total;Total;Extranjero;157
02038 Herrera, La;Total;Total;Misma provincia;17
02038 Herrera, La;Total;Total;Misma comunidad autónoma, distinta provincia;0
02038 Herrera, La;Total;Total;Otra comunidad autónoma;5
02038 Herrera, La;Total;Total;Extranjero;0
02039 Higueruela;Total;Total;Misma provincia;11
02039 Higueruela;Total;Total;Misma comunidad autónoma, distinta provincia;3
02039 Higueruela;Total;Total;Otra comunidad autónoma;9
02039 Higueruela;Total;Total;Extranjero;2
02040 Hoya-Gonzalo;Total;Total;Misma provincia;29
02040 Hoya-Gonzalo;Total;Total;Misma comunidad autónoma, distinta provincia;0
02040 Hoya-Gonzalo;Total;Total;Otra comunidad autónoma;10
02040 Hoya-Gonzalo;Total;Total;Extranjero;0
02041 Jorquera;Total;Total;Misma provincia;8
02041 Jorquera;Total;Total;Misma comunidad autónoma, distinta provincia;1
02041 Jorquera;Total;Total;Otra comunidad autónoma;1
02041 Jorquera;Total;Total;Extranjero;0
02042 Letur;Total;Total;Misma provincia;11
02042 Letur;Total;Total;Misma comunidad autónoma, distinta provincia;0
02042 Letur;Total;Total;Otra comunidad autónoma;18
02042 Letur;Total;Total;Extranjero;0
02043 Lezuza;Total;Total;Misma provincia;31
02043 Lezuza;Total;Total;Misma comunidad autónoma, distinta provincia;0
02043 Lezuza;Total;Total;Otra comunidad autónoma;8
02043 Lezuza;Total;Total;Extranjero;0
02044 Liétor;Total;Total;Misma provincia;26
02044 Liétor;Total;Total;Misma comunidad autónoma, distinta provincia;0
02044 Liétor;Total;Total;Otra comunidad autónoma;20
02044 Liétor;Total;Total;Extranjero;0
02045 Madrigueras;Total;Total;Misma provincia;39
02045 Madrigueras;Total;Total;Misma comunidad autónoma, distinta provincia;3
02045 Madrigueras;Total;Total;Otra comunidad autónoma;30
02045 Madrigueras;Total;Total;Extranjero;15
02046 Mahora;Total;Total;Misma provincia;21
02046 Mahora;Total;Total;Misma comunidad autónoma, distinta provincia;1
02046 Mahora;Total;Total;Otra comunidad autónoma;10
02046 Mahora;Total;Total;Extranjero;1
02047 Masegoso;Total;Total;Misma provincia;8
02047 Masegoso;Total;Total;Misma comunidad autónoma, distinta provincia;0
02047 Masegoso;Total;Total;Otra comunidad autónoma;1
02047 Masegoso;Total;Total;Extranjero;0
02048 Minaya;Total;Total;Misma provincia;12
02048 Minaya;Total;Total;Misma comunidad autónoma, distinta provincia;3
02048 Minaya;Total;Total;Otra comunidad autónoma;16
02048 Minaya;Total;Total;Extranjero;0
02049 Molinicos;Total;Total;Misma provincia;11
02049 Molinicos;Total;Total;Misma comunidad autónoma, distinta provincia;4
02049 Molinicos;Total;Total;Otra comunidad autónoma;14
02049 Molinicos;Total;Total;Extranjero;0
02050 Montalvos;Total;Total;Misma provincia;2
02050 Montalvos;Total;Total;Misma comunidad autónoma, distinta provincia;0
02050 Montalvos;Total;Total;Otra comunidad autónoma;0
02050 Montalvos;Total;Total;Extranjero;0
02051 Montealegre del Castillo;Total;Total;Misma provincia;20
02051 Montealegre del Castillo;Total;Total;Misma comunidad autónoma, distinta provincia;0
02051 Montealegre del Castillo;Total;Total;Otra comunidad autónoma;33
02051 Montealegre del Castillo;Total;Total;Extranjero;2
02052 Motilleja;Total;Total;Misma provincia;13
02052 Motilleja;Total;Total;Misma comunidad autónoma, distinta provincia;1
02052 Motilleja;Total;Total;Otra comunidad autónoma;11
02052 Motilleja;Total;Total;Extranjero;0
02053 Munera;Total;Total;Misma provincia;24
02053 Munera;Total;Total;Misma comunidad autónoma, distinta provincia;1
02053 Munera;Total;Total;Otra comunidad autónoma;18
02053 Munera;Total;Total;Extranjero;0
02054 Navas de Jorquera;Total;Total;Misma provincia;6
02054 Navas de Jorquera;Total;Total;Misma comunidad autónoma, distinta provincia;0
02054 Navas de Jorquera;Total;Total;Otra comunidad autónoma;2
02054 Navas de Jorquera;Total;Total;Extranjero;1
02055 Nerpio;Total;Total;Misma provincia;10
02055 Nerpio;Total;Total;Misma comunidad autónoma, distinta provincia;1
02055 Nerpio;Total;Total;Otra comunidad autónoma;17
02055 Nerpio;Total;Total;Extranjero;0
02056 Ontur;Total;Total;Misma provincia;15
02056 Ontur;Total;Total;Misma comunidad autónoma, distinta provincia;0
02056 Ontur;Total;Total;Otra comunidad autónoma;36
02056 Ontur;Total;Total;Extranjero;5
02057 Ossa de Montiel;Total;Total;Misma provincia;15
02057 Ossa de Montiel;Total;Total;Misma comunidad autónoma, distinta provincia;6
02057 Ossa de Montiel;Total;Total;Otra comunidad autónoma;18
02057 Ossa de Montiel;Total;Total;Extranjero;8
02058 Paterna del Madera;Total;Total;Misma provincia;3
02058 Paterna del Madera;Total;Total;Misma comunidad autónoma, distinta provincia;0
02058 Paterna del Madera;Total;Total;Otra comunidad autónoma;6
02058 Paterna del Madera;Total;Total;Extranjero;0
02060 Peñas de San Pedro;Total;Total;Misma provincia;32
02060 Peñas de San Pedro;Total;Total;Misma comunidad autónoma, distinta provincia;5
02060 Peñas de San Pedro;Total;Total;Otra comunidad autónoma;11
02060 Peñas de San Pedro;Total;Total;Extranjero;0
02059 Peñascosa;Total;Total;Misma provincia;9
02059 Peñascosa;Total;Total;Misma comunidad autónoma, distinta provincia;0
02059 Peñascosa;Total;Total;Otra comunidad autónoma;3
02059 Peñascosa;Total;Total;Extranjero;0
02061 Pétrola;Total;Total;Misma provincia;14
02061 Pétrola;Total;Total;Misma comunidad autónoma, distinta provincia;0
02061 Pétrola;Total;Total;Otra comunidad autónoma;5
02061 Pétrola;Total;Total;Extranjero;0
02062 Povedilla;Total;Total;Misma provincia;5
02062 Povedilla;Total;Total;Misma comunidad autónoma, distinta provincia;3
02062 Povedilla;Total;Total;Otra comunidad autónoma;2
02062 Povedilla;Total;Total;Extranjero;0
02901 Pozo Cañada;Total;Total;Misma provincia;41
02901 Pozo Cañada;Total;Total;Misma comunidad autónoma, distinta provincia;5
02901 Pozo Cañada;Total;Total;Otra comunidad autónoma;9
02901 Pozo Cañada;Total;Total;Extranjero;2
02064 Pozo-Lorente;Total;Total;Misma provincia;9
02064 Pozo-Lorente;Total;Total;Misma comunidad autónoma, distinta provincia;0
02064 Pozo-Lorente;Total;Total;Otra comunidad autónoma;6
02064 Pozo-Lorente;Total;Total;Extranjero;1
02063 Pozohondo;Total;Total;Misma provincia;41
02063 Pozohondo;Total;Total;Misma comunidad autónoma, distinta provincia;1
02063 Pozohondo;Total;Total;Otra comunidad autónoma;13
02063 Pozohondo;Total;Total;Extranjero;2
02065 Pozuelo;Total;Total;Misma provincia;10
02065 Pozuelo;Total;Total;Misma comunidad autónoma, distinta provincia;0
02065 Pozuelo;Total;Total;Otra comunidad autónoma;3
02065 Pozuelo;Total;Total;Extranjero;1
02066 Recueja, La;Total;Total;Misma provincia;1
02066 Recueja, La;Total;Total;Misma comunidad autónoma, distinta provincia;0
02066 Recueja, La;Total;Total;Otra comunidad autónoma;5
02066 Recueja, La;Total;Total;Extranjero;2
02067 Riópar;Total;Total;Misma provincia;16
02067 Riópar;Total;Total;Misma comunidad autónoma, distinta provincia;2
02067 Riópar;Total;Total;Otra comunidad autónoma;29
02067 Riópar;Total;Total;Extranjero;2
02068 Robledo;Total;Total;Misma provincia;12
02068 Robledo;Total;Total;Misma comunidad autónoma, distinta provincia;0
02068 Robledo;Total;Total;Otra comunidad autónoma;3
02068 Robledo;Total;Total;Extranjero;0
02069 Roda, La;Total;Total;Misma provincia;83
02069 Roda, La;Total;Total;Misma comunidad autónoma, distinta provincia;53
02069 Roda, La;Total;Total;Otra comunidad autónoma;148
02069 Roda, La;Total;Total;Extranjero;113
02070 Salobre;Total;Total;Misma provincia;0
02070 Salobre;Total;Total;Misma comunidad autónoma, distinta provincia;3
02070 Salobre;Total;Total;Otra comunidad autónoma;5
02070 Salobre;Total;Total;Extranjero;0
02071 San Pedro;Total;Total;Misma provincia;27
02071 San Pedro;Total;Total;Misma comunidad autónoma, distinta provincia;2
02071 San Pedro;Total;Total;Otra comunidad autónoma;4
