Municipios;Nacionalidad;Sexo;Destino;Total
02056-Ontur;Total;Total;Misma CCAA distinta provincia;1
02056-Ontur;Total;Total;Otra CCAA;28
02056-Ontur;Total;Total;Extranjero;7
02057-Ossa de Montiel;Total;Total;Misma provincia;18
02057-Ossa de Montiel;Total;Total;Misma CCAA distinta provincia;18
02057-Ossa de Montiel;Total;Total;Otra CCAA;39
02057-Ossa de Montiel;Total;Total;Extranjero;2
02058-Paterna del Madera;Total;Total;Misma provincia;19
02058-Paterna del Madera;Total;Total;Misma CCAA distinta provincia;0
02058-Paterna del Madera;Total;Total;Otra CCAA;12
02058-Paterna del Madera;Total;Total;Extranjero;0
02059-Peñascosa;Total;Total;Misma provincia;9
02059-Peñascosa;Total;Total;Misma CCAA distinta provincia;3
02059-Peñascosa;Total;Total;Otra CCAA;8
02059-Peñascosa;Total;Total;Extranjero;0
02060-Peñas de San Pedro;Total;Total;Misma provincia;19
02060-Peñas de San Pedro;Total;Total;Misma CCAA distinta provincia;0
02060-Peñas de San Pedro;Total;Total;Otra CCAA;17
02060-Peñas de San Pedro;Total;Total;Extranjero;0
02061-Pétrola;Total;Total;Misma provincia;12
02061-Pétrola;Total;Total;Misma CCAA distinta provincia;0
02061-Pétrola;Total;Total;Otra CCAA;20
02061-Pétrola;Total;Total;Extranjero;2
02062-Povedilla;Total;Total;Misma provincia;9
02062-Povedilla;Total;Total;Misma CCAA distinta provincia;1
02062-Povedilla;Total;Total;Otra CCAA;19
02062-Povedilla;Total;Total;Extranjero;1
02063-Pozohondo;Total;Total;Misma provincia;29
02063-Pozohondo;Total;Total;Misma CCAA distinta provincia;0
02063-Pozohondo;Total;Total;Otra CCAA;16
02063-Pozohondo;Total;Total;Extranjero;0
02064-Pozo-Lorente;Total;Total;Misma provincia;11
02064-Pozo-Lorente;Total;Total;Misma CCAA distinta provincia;0
02064-Pozo-Lorente;Total;Total;Otra CCAA;7
02064-Pozo-Lorente;Total;Total;Extranjero;0
02065-Pozuelo;Total;Total;Misma provincia;17
02065-Pozuelo;Total;Total;Misma CCAA distinta provincia;1
02065-Pozuelo;Total;Total;Otra CCAA;3
02065-Pozuelo;Total;Total;Extranjero;0
02066-Recueja (La);Total;Total;Misma provincia;8
02066-Recueja (La);Total;Total;Misma CCAA distinta provincia;0
02066-Recueja (La);Total;Total;Otra CCAA;7
02066-Recueja (La);Total;Total;Extranjero;0
02067-Riópar;Total;Total;Misma provincia;28
02067-Riópar;Total;Total;Misma CCAA distinta provincia;0
02067-Riópar;Total;Total;Otra CCAA;21
02067-Riópar;Total;Total;Extranjero;2
02068-Robledo;Total;Total;Misma provincia;14
02068-Robledo;Total;Total;Misma CCAA distinta provincia;0
02068-Robledo;Total;Total;Otra CCAA;17
02068-Robledo;Total;Total;Extranjero;0
02069-Roda (La);Total;Total;Misma provincia;97
02069-Roda (La);Total;Total;Misma CCAA distinta provincia;43
02069-Roda (La);Total;Total;Otra CCAA;197
02069-Roda (La);Total;Total;Extranjero;99
02070-Salobre;Total;Total;Misma provincia;7
02070-Salobre;Total;Total;Misma CCAA distinta provincia;4
02070-Salobre;Total;Total;Otra CCAA;18
02070-Salobre;Total;Total;Extranjero;0
02071-San Pedro;Total;Total;Misma provincia;43
02071-San Pedro;Total;Total;Misma CCAA distinta provincia;0
02071-San Pedro;Total;Total;Otra CCAA;6
02071-San Pedro;Total;Total;Extranjero;1
02072-Socovos;Total;Total;Misma provincia;12
02072-Socovos;Total;Total;Misma CCAA distinta provincia;0
02072-Socovos;Total;Total;Otra CCAA;56
02072-Socovos;Total;Total;Extranjero;0
02073-Tarazona de la Mancha;Total;Total;Misma provincia;51
02073-Tarazona de la Mancha;Total;Total;Misma CCAA distinta provincia;39
02073-Tarazona de la Mancha;Total;Total;Otra CCAA;53
02073-Tarazona de la Mancha;Total;Total;Extranjero;59
02074-Tobarra;Total;Total;Misma provincia;119
02074-Tobarra;Total;Total;Misma CCAA distinta provincia;3
02074-Tobarra;Total;Total;Otra CCAA;143
02074-Tobarra;Total;Total;Extranjero;57
02075-Valdeganga;Total;Total;Misma provincia;46
02075-Valdeganga;Total;Total;Misma CCAA distinta provincia;6
02075-Valdeganga;Total;Total;Otra CCAA;12
02075-Valdeganga;Total;Total;Extranjero;2
02076-Vianos;Total;Total;Misma provincia;8
02076-Vianos;Total;Total;Misma CCAA distinta provincia;0
02076-Vianos;Total;Total;Otra CCAA;6
02076-Vianos;Total;Total;Extranjero;0
02077-Villa de Ves;Total;Total;Misma provincia;2
02077-Villa de Ves;Total;Total;Misma CCAA distinta provincia;0
02077-Villa de Ves;Total;Total;Otra CCAA;2
02077-Villa de Ves;Total;Total;Extranjero;0
02078-Villalgordo del Júcar;Total;Total;Misma provincia;12
02078-Villalgordo del Júcar;Total;Total;Misma CCAA distinta provincia;7
02078-Villalgordo del Júcar;Total;Total;Otra CCAA;16
02078-Villalgordo del Júcar;Total;Total;Extranjero;0
02079-Villamalea;Total;Total;Misma provincia;41
02079-Villamalea;Total;Total;Misma CCAA distinta provincia;9
02079-Villamalea;Total;Total;Otra CCAA;57
02079-Villamalea;Total;Total;Extranjero;9
02080-Villapalacios;Total;Total;Misma provincia;14
02080-Villapalacios;Total;Total;Misma CCAA distinta provincia;1
02080-Villapalacios;Total;Total;Otra CCAA;24
02080-Villapalacios;Total;Total;Extranjero;1
02081-Villarrobledo;Total;Total;Misma provincia;99
02081-Villarrobledo;Total;Total;Misma CCAA distinta provincia;130
02081-Villarrobledo;Total;Total;Otra CCAA;331
02081-Villarrobledo;Total;Total;Extranjero;121
02082-Villatoya;Total;Total;Misma provincia;3
02082-Villatoya;Total;Total;Misma CCAA distinta provincia;0
02082-Villatoya;Total;Total;Otra CCAA;10
02082-Villatoya;Total;Total;Extranjero;5
02083-Villavaliente;Total;Total;Misma provincia;6
02083-Villavaliente;Total;Total;Misma CCAA distinta provincia;0
02083-Villavaliente;Total;Total;Otra CCAA;6
02083-Villavaliente;Total;Total;Extranjero;0
02084-Villaverde de Guadalimar;Total;Total;Misma provincia;12
02084-Villaverde de Guadalimar;Total;Total;Misma CCAA distinta provincia;1
02084-Villaverde de Guadalimar;Total;Total;Otra CCAA;18
02084-Villaverde de Guadalimar;Total;Total;Extranjero;0
02085-Viveros;Total;Total;Misma provincia;4
02085-Viveros;Total;Total;Misma CCAA distinta provincia;0
02085-Viveros;Total;Total;Otra CCAA;2
02085-Viveros;Total;Total;Extranjero;0
02086-Yeste;Total;Total;Misma provincia;20
02086-Yeste;Total;Total;Misma CCAA distinta provincia;2
02086-Yeste;Total;Total;Otra CCAA;67
02086-Yeste;Total;Total;Extranjero;1
02901-Pozo Cañada;Total;Total;Misma provincia;60
02901-Pozo Cañada;Total;Total;Misma CCAA distinta provincia;2
02901-Pozo Cañada;Total;Total;Otra CCAA;16
02901-Pozo Cañada;Total;Total;Extranjero;0
