Municipio;Nacionalidad;Sexo;Destino;Total
16042 Campillo de Altobuey;Total;Total;Otra comunidad autónoma;""
16042 Campillo de Altobuey;Total;Total;Extranjero;""
16043 Campillos-Paravientos;Total;Total;Misma provincia;""
16043 Campillos-Paravientos;Total;Total;Misma comunidad autónoma, distinta provincia;""
16043 Campillos-Paravientos;Total;Total;Otra comunidad autónoma;""
16043 Campillos-Paravientos;Total;Total;Extranjero;""
16044 Campillos-Sierra;Total;Total;Misma provincia;""
16044 Campillos-Sierra;Total;Total;Misma comunidad autónoma, distinta provincia;""
16044 Campillos-Sierra;Total;Total;Otra comunidad autónoma;""
16044 Campillos-Sierra;Total;Total;Extranjero;""
16901 Campos del Paraíso;Total;Total;Misma provincia;""
16901 Campos del Paraíso;Total;Total;Misma comunidad autónoma, distinta provincia;""
16901 Campos del Paraíso;Total;Total;Otra comunidad autónoma;""
16901 Campos del Paraíso;Total;Total;Extranjero;""
16046 Cañada del Hoyo;Total;Total;Misma provincia;""
16046 Cañada del Hoyo;Total;Total;Misma comunidad autónoma, distinta provincia;""
16046 Cañada del Hoyo;Total;Total;Otra comunidad autónoma;""
16046 Cañada del Hoyo;Total;Total;Extranjero;""
16047 Cañada Juncosa;Total;Total;Misma provincia;""
16047 Cañada Juncosa;Total;Total;Misma comunidad autónoma, distinta provincia;""
16047 Cañada Juncosa;Total;Total;Otra comunidad autónoma;""
16047 Cañada Juncosa;Total;Total;Extranjero;""
16045 Canalejas del Arroyo;Total;Total;Misma provincia;""
16045 Canalejas del Arroyo;Total;Total;Misma comunidad autónoma, distinta provincia;""
16045 Canalejas del Arroyo;Total;Total;Otra comunidad autónoma;""
16045 Canalejas del Arroyo;Total;Total;Extranjero;""
16048 Cañamares;Total;Total;Misma provincia;""
16048 Cañamares;Total;Total;Misma comunidad autónoma, distinta provincia;""
16048 Cañamares;Total;Total;Otra comunidad autónoma;""
16048 Cañamares;Total;Total;Extranjero;""
16049 Cañavate, El;Total;Total;Misma provincia;""
