Municipio;Nacionalidad;Sexo;Destino;Total
45035 Cardiel de los Montes;Total;Total;Misma provincia;12
45035 Cardiel de los Montes;Total;Total;Misma comunidad autónoma, distinta provincia;1
45035 Cardiel de los Montes;Total;Total;Otra comunidad autónoma;15
45035 Cardiel de los Montes;Total;Total;Extranjero;0
45036 Carmena;Total;Total;Misma provincia;14
45036 Carmena;Total;Total;Misma comunidad autónoma, distinta provincia;0
45036 Carmena;Total;Total;Otra comunidad autónoma;10
45036 Carmena;Total;Total;Extranjero;6
45037 Carpio de Tajo, El;Total;Total;Misma provincia;36
45037 Carpio de Tajo, El;Total;Total;Misma comunidad autónoma, distinta provincia;1
45037 Carpio de Tajo, El;Total;Total;Otra comunidad autónoma;34
45037 Carpio de Tajo, El;Total;Total;Extranjero;4
45038 Carranque;Total;Total;Misma provincia;83
45038 Carranque;Total;Total;Misma comunidad autónoma, distinta provincia;7
45038 Carranque;Total;Total;Otra comunidad autónoma;224
45038 Carranque;Total;Total;Extranjero;1
45039 Carriches;Total;Total;Misma provincia;1
45039 Carriches;Total;Total;Misma comunidad autónoma, distinta provincia;0
45039 Carriches;Total;Total;Otra comunidad autónoma;2
45039 Carriches;Total;Total;Extranjero;0
45040 Casar de Escalona, El;Total;Total;Misma provincia;27
45040 Casar de Escalona, El;Total;Total;Misma comunidad autónoma, distinta provincia;0
45040 Casar de Escalona, El;Total;Total;Otra comunidad autónoma;64
45040 Casar de Escalona, El;Total;Total;Extranjero;4
45041 Casarrubios del Monte;Total;Total;Misma provincia;97
45041 Casarrubios del Monte;Total;Total;Misma comunidad autónoma, distinta provincia;3
45041 Casarrubios del Monte;Total;Total;Otra comunidad autónoma;310
45041 Casarrubios del Monte;Total;Total;Extranjero;8
45042 Casasbuenas;Total;Total;Misma provincia;7
45042 Casasbuenas;Total;Total;Misma comunidad autónoma, distinta provincia;2
45042 Casasbuenas;Total;Total;Otra comunidad autónoma;3
45042 Casasbuenas;Total;Total;Extranjero;0
45043 Castillo de Bayuela;Total;Total;Misma provincia;24
45043 Castillo de Bayuela;Total;Total;Misma comunidad autónoma, distinta provincia;1
45043 Castillo de Bayuela;Total;Total;Otra comunidad autónoma;18
45043 Castillo de Bayuela;Total;Total;Extranjero;0
45045 Cazalegas;Total;Total;Misma provincia;46
45045 Cazalegas;Total;Total;Misma comunidad autónoma, distinta provincia;6
45045 Cazalegas;Total;Total;Otra comunidad autónoma;42
45045 Cazalegas;Total;Total;Extranjero;1
45046 Cebolla;Total;Total;Misma provincia;28
45046 Cebolla;Total;Total;Misma comunidad autónoma, distinta provincia;3
45046 Cebolla;Total;Total;Otra comunidad autónoma;28
45046 Cebolla;Total;Total;Extranjero;18
45047 Cedillo del Condado;Total;Total;Misma provincia;73
45047 Cedillo del Condado;Total;Total;Misma comunidad autónoma, distinta provincia;5
45047 Cedillo del Condado;Total;Total;Otra comunidad autónoma;151
45047 Cedillo del Condado;Total;Total;Extranjero;12
45048 Cerralbos, Los;Total;Total;Misma provincia;3
45048 Cerralbos, Los;Total;Total;Misma comunidad autónoma, distinta provincia;0
45048 Cerralbos, Los;Total;Total;Otra comunidad autónoma;3
45048 Cerralbos, Los;Total;Total;Extranjero;0
45049 Cervera de los Montes;Total;Total;Misma provincia;12
45049 Cervera de los Montes;Total;Total;Misma comunidad autónoma, distinta provincia;1
45049 Cervera de los Montes;Total;Total;Otra comunidad autónoma;8
45049 Cervera de los Montes;Total;Total;Extranjero;0
45056 Chozas de Canales;Total;Total;Misma provincia;96
45056 Chozas de Canales;Total;Total;Misma comunidad autónoma, distinta provincia;0
45056 Chozas de Canales;Total;Total;Otra comunidad autónoma;160
45056 Chozas de Canales;Total;Total;Extranjero;7
45057 Chueca;Total;Total;Misma provincia;2
45057 Chueca;Total;Total;Misma comunidad autónoma, distinta provincia;0
45057 Chueca;Total;Total;Otra comunidad autónoma;0
45057 Chueca;Total;Total;Extranjero;0
45050 Ciruelos;Total;Total;Misma provincia;6
45050 Ciruelos;Total;Total;Misma comunidad autónoma, distinta provincia;1
45050 Ciruelos;Total;Total;Otra comunidad autónoma;15
45050 Ciruelos;Total;Total;Extranjero;5
45051 Cobeja;Total;Total;Misma provincia;43
45051 Cobeja;Total;Total;Misma comunidad autónoma, distinta provincia;0
45051 Cobeja;Total;Total;Otra comunidad autónoma;48
45051 Cobeja;Total;Total;Extranjero;6
45052 Cobisa;Total;Total;Misma provincia;107
45052 Cobisa;Total;Total;Misma comunidad autónoma, distinta provincia;6
45052 Cobisa;Total;Total;Otra comunidad autónoma;36
45052 Cobisa;Total;Total;Extranjero;9
45053 Consuegra;Total;Total;Misma provincia;66
45053 Consuegra;Total;Total;Misma comunidad autónoma, distinta provincia;23
45053 Consuegra;Total;Total;Otra comunidad autónoma;96
45053 Consuegra;Total;Total;Extranjero;3
45054 Corral de Almaguer;Total;Total;Misma provincia;33
45054 Corral de Almaguer;Total;Total;Misma comunidad autónoma, distinta provincia;14
45054 Corral de Almaguer;Total;Total;Otra comunidad autónoma;76
45054 Corral de Almaguer;Total;Total;Extranjero;2
45055 Cuerva;Total;Total;Misma provincia;26
45055 Cuerva;Total;Total;Misma comunidad autónoma, distinta provincia;0
45055 Cuerva;Total;Total;Otra comunidad autónoma;17
45055 Cuerva;Total;Total;Extranjero;1
45058 Domingo Pérez;Total;Total;Misma provincia;4
45058 Domingo Pérez;Total;Total;Misma comunidad autónoma, distinta provincia;0
45058 Domingo Pérez;Total;Total;Otra comunidad autónoma;12
45058 Domingo Pérez;Total;Total;Extranjero;1
45059 Dosbarrios;Total;Total;Misma provincia;21
45059 Dosbarrios;Total;Total;Misma comunidad autónoma, distinta provincia;0
45059 Dosbarrios;Total;Total;Otra comunidad autónoma;43
45059 Dosbarrios;Total;Total;Extranjero;5
45060 Erustes;Total;Total;Misma provincia;1
