Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;16 Cuenca;16010 Alcázar del Rey;De 90 a 94 años;1 de enero de 2020;4
Total;16 Cuenca;16010 Alcázar del Rey;De 95 a 99 años;1 de enero de 2020;1
Total;16 Cuenca;16010 Alcázar del Rey;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16011 Alcohujate;Todas las edades;1 de enero de 2020;26
Total;16 Cuenca;16011 Alcohujate;De 0 a 4 años;1 de enero de 2020;0
Total;16 Cuenca;16011 Alcohujate;De 5 a 9 años;1 de enero de 2020;0
Total;16 Cuenca;16011 Alcohujate;De 10 a 14 años;1 de enero de 2020;1
Total;16 Cuenca;16011 Alcohujate;De 65 a 69 años;1 de enero de 2020;2
Total;16 Cuenca;16011 Alcohujate;De 70 a 74 años;1 de enero de 2020;2
Total;16 Cuenca;16011 Alcohujate;De 75 a 79 años;1 de enero de 2020;3
Total;16 Cuenca;16011 Alcohujate;De 80 a 84 años;1 de enero de 2020;1
Total;16 Cuenca;16011 Alcohujate;De 85 a 89 años;1 de enero de 2020;1
Total;16 Cuenca;16011 Alcohujate;De 90 a 94 años;1 de enero de 2020;0
Total;16 Cuenca;16011 Alcohujate;De 95 a 99 años;1 de enero de 2020;0
Total;16 Cuenca;16011 Alcohujate;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16012 Alconchel de la Estrella;Todas las edades;1 de enero de 2020;85
Total;16 Cuenca;16012 Alconchel de la Estrella;De 0 a 4 años;1 de enero de 2020;0
Total;16 Cuenca;16012 Alconchel de la Estrella;De 5 a 9 años;1 de enero de 2020;2
Total;16 Cuenca;16012 Alconchel de la Estrella;De 10 a 14 años;1 de enero de 2020;0
Total;16 Cuenca;16012 Alconchel de la Estrella;De 65 a 69 años;1 de enero de 2020;9
Total;16 Cuenca;16012 Alconchel de la Estrella;De 70 a 74 años;1 de enero de 2020;3
Total;16 Cuenca;16012 Alconchel de la Estrella;De 75 a 79 años;1 de enero de 2020;2
Total;16 Cuenca;16012 Alconchel de la Estrella;De 80 a 84 años;1 de enero de 2020;3
Total;16 Cuenca;16012 Alconchel de la Estrella;De 85 a 89 años;1 de enero de 2020;5
Total;16 Cuenca;16012 Alconchel de la Estrella;De 90 a 94 años;1 de enero de 2020;4
Total;16 Cuenca;16012 Alconchel de la Estrella;De 95 a 99 años;1 de enero de 2020;1
Total;16 Cuenca;16012 Alconchel de la Estrella;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16013 Algarra;Todas las edades;1 de enero de 2020;24
Total;16 Cuenca;16013 Algarra;De 0 a 4 años;1 de enero de 2020;0
Total;16 Cuenca;16013 Algarra;De 5 a 9 años;1 de enero de 2020;0
Total;16 Cuenca;16013 Algarra;De 10 a 14 años;1 de enero de 2020;0
Total;16 Cuenca;16013 Algarra;De 65 a 69 años;1 de enero de 2020;4
Total;16 Cuenca;16013 Algarra;De 70 a 74 años;1 de enero de 2020;3
Total;16 Cuenca;16013 Algarra;De 75 a 79 años;1 de enero de 2020;1
Total;16 Cuenca;16013 Algarra;De 80 a 84 años;1 de enero de 2020;1
Total;16 Cuenca;16013 Algarra;De 85 a 89 años;1 de enero de 2020;1
Total;16 Cuenca;16013 Algarra;De 90 a 94 años;1 de enero de 2020;0
Total;16 Cuenca;16013 Algarra;De 95 a 99 años;1 de enero de 2020;0
Total;16 Cuenca;16013 Algarra;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16014 Aliaguilla;Todas las edades;1 de enero de 2020;632
Total;16 Cuenca;16014 Aliaguilla;De 0 a 4 años;1 de enero de 2020;15
Total;16 Cuenca;16014 Aliaguilla;De 5 a 9 años;1 de enero de 2020;18
Total;16 Cuenca;16014 Aliaguilla;De 10 a 14 años;1 de enero de 2020;23
Total;16 Cuenca;16014 Aliaguilla;De 65 a 69 años;1 de enero de 2020;48
Total;16 Cuenca;16014 Aliaguilla;De 70 a 74 años;1 de enero de 2020;44
Total;16 Cuenca;16014 Aliaguilla;De 75 a 79 años;1 de enero de 2020;36
Total;16 Cuenca;16014 Aliaguilla;De 80 a 84 años;1 de enero de 2020;36
Total;16 Cuenca;16014 Aliaguilla;De 85 a 89 años;1 de enero de 2020;31
Total;16 Cuenca;16014 Aliaguilla;De 90 a 94 años;1 de enero de 2020;15
Total;16 Cuenca;16014 Aliaguilla;De 95 a 99 años;1 de enero de 2020;2
Total;16 Cuenca;16014 Aliaguilla;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16015 Almarcha, La;Todas las edades;1 de enero de 2020;378
Total;16 Cuenca;16015 Almarcha, La;De 0 a 4 años;1 de enero de 2020;6
Total;16 Cuenca;16015 Almarcha, La;De 5 a 9 años;1 de enero de 2020;5
Total;16 Cuenca;16015 Almarcha, La;De 10 a 14 años;1 de enero de 2020;8
Total;16 Cuenca;16015 Almarcha, La;De 65 a 69 años;1 de enero de 2020;24
