Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;19 Guadalajara;19009 Alcocer;100 y más años;1 de enero de 2020;1
Total;19 Guadalajara;19010 Alcolea de las Peñas;Todas las edades;1 de enero de 2020;14
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 0 a 4 años;1 de enero de 2020;1
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 10 a 14 años;1 de enero de 2020;1
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 65 a 69 años;1 de enero de 2020;4
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 70 a 74 años;1 de enero de 2020;1
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 75 a 79 años;1 de enero de 2020;0
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 80 a 84 años;1 de enero de 2020;0
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 85 a 89 años;1 de enero de 2020;0
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 90 a 94 años;1 de enero de 2020;1
Total;19 Guadalajara;19010 Alcolea de las Peñas;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19010 Alcolea de las Peñas;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19011 Alcolea del Pinar;Todas las edades;1 de enero de 2020;327
Total;19 Guadalajara;19011 Alcolea del Pinar;De 0 a 4 años;1 de enero de 2020;11
Total;19 Guadalajara;19011 Alcolea del Pinar;De 5 a 9 años;1 de enero de 2020;16
Total;19 Guadalajara;19011 Alcolea del Pinar;De 10 a 14 años;1 de enero de 2020;5
Total;19 Guadalajara;19011 Alcolea del Pinar;De 65 a 69 años;1 de enero de 2020;18
Total;19 Guadalajara;19011 Alcolea del Pinar;De 70 a 74 años;1 de enero de 2020;16
Total;19 Guadalajara;19011 Alcolea del Pinar;De 75 a 79 años;1 de enero de 2020;28
Total;19 Guadalajara;19011 Alcolea del Pinar;De 80 a 84 años;1 de enero de 2020;17
Total;19 Guadalajara;19011 Alcolea del Pinar;De 85 a 89 años;1 de enero de 2020;17
Total;19 Guadalajara;19011 Alcolea del Pinar;De 90 a 94 años;1 de enero de 2020;12
Total;19 Guadalajara;19011 Alcolea del Pinar;De 95 a 99 años;1 de enero de 2020;6
Total;19 Guadalajara;19011 Alcolea del Pinar;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19013 Alcoroches;Todas las edades;1 de enero de 2020;127
Total;19 Guadalajara;19013 Alcoroches;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19013 Alcoroches;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19013 Alcoroches;De 10 a 14 años;1 de enero de 2020;3
Total;19 Guadalajara;19013 Alcoroches;De 65 a 69 años;1 de enero de 2020;8
Total;19 Guadalajara;19013 Alcoroches;De 70 a 74 años;1 de enero de 2020;8
Total;19 Guadalajara;19013 Alcoroches;De 75 a 79 años;1 de enero de 2020;8
Total;19 Guadalajara;19013 Alcoroches;De 80 a 84 años;1 de enero de 2020;4
Total;19 Guadalajara;19013 Alcoroches;De 85 a 89 años;1 de enero de 2020;3
Total;19 Guadalajara;19013 Alcoroches;De 90 a 94 años;1 de enero de 2020;6
Total;19 Guadalajara;19013 Alcoroches;De 95 a 99 años;1 de enero de 2020;2
Total;19 Guadalajara;19013 Alcoroches;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;Todas las edades;1 de enero de 2020;86
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 5 a 9 años;1 de enero de 2020;1
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 65 a 69 años;1 de enero de 2020;4
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 70 a 74 años;1 de enero de 2020;10
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 75 a 79 años;1 de enero de 2020;17
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 80 a 84 años;1 de enero de 2020;8
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 85 a 89 años;1 de enero de 2020;4
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 90 a 94 años;1 de enero de 2020;0
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19015 Aldeanueva de Guadalajara;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19016 Algar de Mesa;Todas las edades;1 de enero de 2020;55
Total;19 Guadalajara;19016 Algar de Mesa;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19016 Algar de Mesa;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19016 Algar de Mesa;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19016 Algar de Mesa;De 65 a 69 años;1 de enero de 2020;2
Total;19 Guadalajara;19016 Algar de Mesa;De 70 a 74 años;1 de enero de 2020;3
Total;19 Guadalajara;19016 Algar de Mesa;De 75 a 79 años;1 de enero de 2020;3
Total;19 Guadalajara;19016 Algar de Mesa;De 80 a 84 años;1 de enero de 2020;6
Total;19 Guadalajara;19016 Algar de Mesa;De 85 a 89 años;1 de enero de 2020;4
Total;19 Guadalajara;19016 Algar de Mesa;De 90 a 94 años;1 de enero de 2020;1
Total;19 Guadalajara;19016 Algar de Mesa;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19016 Algar de Mesa;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19017 Algora;Todas las edades;1 de enero de 2020;66
Total;19 Guadalajara;19017 Algora;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19017 Algora;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19017 Algora;De 10 a 14 años;1 de enero de 2020;1
Total;19 Guadalajara;19017 Algora;De 65 a 69 años;1 de enero de 2020;2
Total;19 Guadalajara;19017 Algora;De 70 a 74 años;1 de enero de 2020;7
Total;19 Guadalajara;19017 Algora;De 75 a 79 años;1 de enero de 2020;4
Total;19 Guadalajara;19017 Algora;De 80 a 84 años;1 de enero de 2020;7
Total;19 Guadalajara;19017 Algora;De 85 a 89 años;1 de enero de 2020;9
Total;19 Guadalajara;19017 Algora;De 90 a 94 años;1 de enero de 2020;2
Total;19 Guadalajara;19017 Algora;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19017 Algora;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19018 Alhóndiga;Todas las edades;1 de enero de 2020;161
Total;19 Guadalajara;19018 Alhóndiga;De 0 a 4 años;1 de enero de 2020;2
Total;19 Guadalajara;19018 Alhóndiga;De 5 a 9 años;1 de enero de 2020;2
Total;19 Guadalajara;19018 Alhóndiga;De 10 a 14 años;1 de enero de 2020;6
Total;19 Guadalajara;19018 Alhóndiga;De 65 a 69 años;1 de enero de 2020;15
Total;19 Guadalajara;19018 Alhóndiga;De 70 a 74 años;1 de enero de 2020;16
Total;19 Guadalajara;19018 Alhóndiga;De 75 a 79 años;1 de enero de 2020;12
Total;19 Guadalajara;19018 Alhóndiga;De 80 a 84 años;1 de enero de 2020;7
Total;19 Guadalajara;19018 Alhóndiga;De 85 a 89 años;1 de enero de 2020;11
Total;19 Guadalajara;19018 Alhóndiga;De 90 a 94 años;1 de enero de 2020;7
Total;19 Guadalajara;19018 Alhóndiga;De 95 a 99 años;1 de enero de 2020;1
Total;19 Guadalajara;19018 Alhóndiga;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19019 Alique;Todas las edades;1 de enero de 2020;14
Total;19 Guadalajara;19019 Alique;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19019 Alique;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19019 Alique;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19019 Alique;De 65 a 69 años;1 de enero de 2020;2
Total;19 Guadalajara;19019 Alique;De 70 a 74 años;1 de enero de 2020;2
Total;19 Guadalajara;19019 Alique;De 75 a 79 años;1 de enero de 2020;2
Total;19 Guadalajara;19019 Alique;De 80 a 84 años;1 de enero de 2020;2
Total;19 Guadalajara;19019 Alique;De 85 a 89 años;1 de enero de 2020;2
Total;19 Guadalajara;19019 Alique;De 90 a 94 años;1 de enero de 2020;1
Total;19 Guadalajara;19019 Alique;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19019 Alique;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19020 Almadrones;Todas las edades;1 de enero de 2020;55
Total;19 Guadalajara;19020 Almadrones;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19020 Almadrones;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19020 Almadrones;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19020 Almadrones;De 65 a 69 años;1 de enero de 2020;4
Total;19 Guadalajara;19020 Almadrones;De 70 a 74 años;1 de enero de 2020;1
Total;19 Guadalajara;19020 Almadrones;De 75 a 79 años;1 de enero de 2020;0
Total;19 Guadalajara;19020 Almadrones;De 80 a 84 años;1 de enero de 2020;1
Total;19 Guadalajara;19020 Almadrones;De 85 a 89 años;1 de enero de 2020;2
Total;19 Guadalajara;19020 Almadrones;De 90 a 94 años;1 de enero de 2020;1
Total;19 Guadalajara;19020 Almadrones;De 95 a 99 años;1 de enero de 2020;1
Total;19 Guadalajara;19020 Almadrones;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19021 Almoguera;Todas las edades;1 de enero de 2020;1.300
Total;19 Guadalajara;19021 Almoguera;De 0 a 4 años;1 de enero de 2020;44
Total;19 Guadalajara;19021 Almoguera;De 5 a 9 años;1 de enero de 2020;55
Total;19 Guadalajara;19021 Almoguera;De 10 a 14 años;1 de enero de 2020;69
Total;19 Guadalajara;19021 Almoguera;De 65 a 69 años;1 de enero de 2020;41
Total;19 Guadalajara;19021 Almoguera;De 70 a 74 años;1 de enero de 2020;61
Total;19 Guadalajara;19021 Almoguera;De 75 a 79 años;1 de enero de 2020;54
Total;19 Guadalajara;19021 Almoguera;De 80 a 84 años;1 de enero de 2020;38
Total;19 Guadalajara;19021 Almoguera;De 85 a 89 años;1 de enero de 2020;37
Total;19 Guadalajara;19021 Almoguera;De 90 a 94 años;1 de enero de 2020;11
Total;19 Guadalajara;19021 Almoguera;De 95 a 99 años;1 de enero de 2020;7
Total;19 Guadalajara;19021 Almoguera;100 y más años;1 de enero de 2020;1
Total;19 Guadalajara;19022 Almonacid de Zorita;Todas las edades;1 de enero de 2020;696
